clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,30.1017,2050.09,22.67
1,31.5097,2094.47,22.95
2,31.0019,2000.45,23.18
3,30.3739,1985.21,22.32
4,31.0861,2057.79,23.98
5,30.9298,2129.85,24.1
6,32.753,2151.62,24.85
7,29.7758,2149.25,25.14
8,32.4641,2066.69,26.77
9,31.8169,2120.61,26.0
10,30.4298,2107.02,26.29
11,30.6404,2179.93,26.81
12,29.112,2091.48,27.34
13,29.1439,2101.8,27.87
14,29.0993,2083.3,26.34
15,29.5898,2044.17,27.21
16,28.5719,2063.74,25.42
17,29.8318,2080.63,25.01
18,29.2875,2012.34,25.22
19,27.8828,2146.13,24.79
20,28.5516,2157.08,24.23
21,28.2529,2059.17,23.34
22,28.6422,2131.75,23.57
23,28.4021,2134.31,22.95
24,31.3982,2173.0,23.17
25,32.0923,2204.52,23.53
26,30.8069,2159.22,23.57
27,29.5873,2241.57,23.64
28,31.017,2045.79,24.26
29,31.1218,2107.67,25.06
30,31.9474,2099.28,25.12
31,31.8281,2196.05,25.72
32,29.9369,2115.58,25.48
33,30.014,2126.53,26.04
34,31.0899,2296.25,26.11
35,30.3936,2239.93,25.88
36,29.6235,2164.65,26.35
37,29.9962,2222.27,26.41
38,30.1029,2254.59,26.29
39,29.8644,2097.87,27.42
40,28.699,2257.33,25.43
41,28.6065,2185.56,25.67
42,29.1776,2158.25,24.67
43,29.0805,2115.16,24.18
44,28.1344,2215.02,24.51
45,28.5405,2147.79,23.31
46,29.7339,2178.15,23.44
47,29.8522,2185.06,22.59
48,29.799,2125.54,23.26
49,30.8331,2210.95,22.76
50,31.1937,2221.96,22.8
51,31.1404,2166.71,23.58
52,30.6689,2125.13,24.61
53,31.9537,2247.76,24.28
54,32.5276,2075.72,24.79
55,31.2871,2180.29,25.17
56,30.0472,2161.1,26.79
57,32.5272,2073.21,25.89
58,30.6444,2063.03,26.49
59,31.1393,2213.29,26.95
60,31.4653,2204.88,27.15
61,30.3183,2289.96,26.64
62,28.8604,2062.14,26.76
63,29.6684,2170.07,25.67
64,27.7818,2071.07,25.5
65,28.1916,2123.42,25.63
66,28.1704,2115.5,24.53
67,28.8976,2073.46,24.76
68,28.6256,2138.43,23.86
69,30.9322,2089.2,23.4
70,28.4383,2080.19,23.27
71,30.3196,2029.28,23.07
72,30.9712,2098.64,22.34
73,31.5939,1953.08,23.33
74,30.3993,2024.72,23.21
75,31.8862,1929.77,23.48
76,31.4205,2010.34,24.16
77,32.3155,1955.55,24.82
78,31.7434,2034.69,25.08
79,31.833,1986.16,24.94
80,31.2519,2085.41,26.17
81,29.8897,2191.06,25.93
82,31.5569,2051.9,26.98
83,30.5859,2164.33,26.82
84,28.8595,2054.21,26.53
85,30.766,1958.29,27.12
86,30.3107,2124.71,27.61
87,29.8035,2038.96,26.78
88,30.3563,2106.0,25.92
89,28.3095,2090.58,25.61
90,28.1178,1984.03,25.13
91,30.0041,1887.43,24.44
92,27.9824,2057.58,23.17
93,28.9826,2024.85,24.14
94,29.7402,2069.55,24.44
95,29.8158,1900.72,22.28
96,30.0871,2065.87,22.45
97,30.3569,2075.99,24.16
98,29.8866,2031.36,23.68
99,31.2141,2002.94,23.15
100,33.0075,1930.79,23.27
101,31.2649,2043.66,24.43
102,31.5584,2070.71,24.93
103,32.0368,1870.21,26.82
104,30.5569,2091.61,24.37
105,30.4898,1968.4,25.62
106,30.7358,1883.05,26.65
107,31.7497,1987.22,27.13
108,29.0494,1886.65,26.83
109,28.2643,1899.57,26.8
110,29.6005,1882.1,26.42
111,29.0899,1883.65,26.53
112,27.4499,2007.52,25.52
113,27.5815,1876.83,25.71
114,27.6188,1970.84,24.49
115,28.2089,1893.88,24.12
116,29.0852,1874.76,23.84
117,28.0711,1884.19,23.3
118,29.42,1920.51,23.11
119,29.4141,1964.88,22.07
120,30.3,1944.99,22.61
121,29.8185,1875.65,23.2
122,30.7861,1886.72,23.52
123,31.7479,1917.12,23.2
124,32.4035,1927.67,23.9
125,31.0389,1955.39,25.4
126,32.0325,1962.96,24.72
127,32.3118,1910.41,25.05
128,32.2753,1862.55,26.06
129,31.3471,1934.43,25.97
130,32.3963,2041.26,25.65
131,29.9835,1930.58,27.24
132,30.4813,1833.98,26.89
133,29.6294,2021.76,26.63
134,28.9481,1976.03,26.72
135,29.8987,1946.12,26.9
136,28.4552,2015.01,26.17
137,28.9704,1907.14,25.56
138,27.1915,1826.2,25.44
139,28.7759,1990.88,24.24
140,27.6763,1954.67,23.73
141,31.3958,1997.27,23.01
142,29.2613,1984.24,23.24
143,29.9497,1963.38,23.38
144,29.1945,1919.9,22.92
145,29.8228,1887.3,22.94
146,29.0943,1852.97,23.77
147,31.8958,1913.14,23.68
148,31.3008,1979.15,24.32
149,30.7502,1967.04,24.55
150,32.5736,1975.34,25.39
151,30.863,2029.3,26.19
152,31.14,1886.19,26.3
153,31.1245,1891.44,26.1
154,30.9311,1912.11,26.87
155,29.8344,1934.16,26.93
156,29.409,1925.38,26.74
157,30.3729,2026.35,27.28
158,28.4038,1999.48,27.03
159,28.1979,1978.69,26.85
160,28.3948,1995.75,25.48
161,28.391,2057.55,25.64
162,28.3653,2055.64,24.34
163,28.5623,2015.47,24.44
164,29.248,2086.11,23.97
165,29.3234,2041.27,23.49
166,29.003,1952.98,22.68
167,29.1971,1935.79,22.73
168,30.169,2052.12,24.03
169,29.4246,2142.76,22.75
170,30.7688,2050.13,23.83
171,31.6532,1989.14,24.04
172,31.967,2053.32,24.06
173,30.8682,2079.06,25.12
174,30.4614,2040.97,25.09
175,30.5399,2086.51,24.95
176,30.9025,2111.57,25.56
177,31.5365,2005.79,26.1
178,30.41,2003.84,26.9
179,29.9238,2156.29,26.27
180,29.5373,2175.14,26.2
181,28.9787,2130.28,27.03
182,30.1048,2027.77,27.11
183,28.5389,2061.38,25.6
184,29.4176,2004.75,25.96
185,28.1633,2137.17,25.61
186,28.5693,2117.72,25.35
187,28.1479,2138.38,25.22
188,30.0116,2101.06,22.28
189,30.2442,2147.06,24.01
190,29.8681,2206.8,23.63
191,29.8501,2092.95,22.68
192,30.611,2098.12,23.32
193,28.8662,2188.83,23.0
194,31.3838,2115.17,22.72
195,31.5197,2078.8,23.61
196,31.5201,2090.2,24.24
197,31.4466,2208.85,23.78
198,32.2194,1988.68,25.03
199,31.2469,2156.88,25.47
200,28.7616,2103.63,26.42
201,31.9678,2143.07,27.69
202,30.8585,2122.59,26.19
203,29.9451,2164.69,26.8
204,29.8773,2065.76,27.21
205,28.9692,2221.37,26.72
206,29.3675,2184.63,26.22
207,28.4043,2101.69,25.92
208,29.0241,2172.95,26.07
209,29.1935,2252.66,25.57
210,27.7368,2185.67,24.48
211,28.7541,2252.55,24.25
212,28.8402,2239.42,24.05
213,29.2247,2061.55,23.5
214,28.1298,2236.96,23.32
215,28.903,2096.14,22.76
216,28.8257,2098.84,22.77
217,31.3755,2175.57,22.9
218,29.8372,2103.17,24.09
219,28.7866,2125.66,23.34
220,31.7532,2028.61,24.1
221,30.7525,2111.42,24.86
222,31.5227,2104.28,24.48
223,30.9668,2032.49,25.06
224,31.9062,2079.35,26.33
225,31.5886,2085.01,26.89
226,32.3067,2163.99,26.35
227,29.8202,2110.77,27.33
228,29.0036,2221.81,26.97
229,28.2728,2076.79,26.59
230,28.7304,2047.03,26.73
231,28.6441,2173.58,26.43
232,28.1873,2204.13,25.78
233,28.5279,2043.99,25.66
234,27.3959,2094.08,25.27
235,27.6622,2159.18,24.78
236,27.7437,2079.85,24.87
237,28.1051,2119.2,23.47
238,28.4428,2125.89,23.06
239,28.4811,2092.67,23.0
240,31.3072,2097.69,23.44
241,30.3845,2170.24,23.32
242,30.3299,2055.8,22.67
243,31.2493,2100.0,23.8
244,32.7728,2031.57,23.84
245,32.421,1993.54,24.99
246,32.6007,2177.89,24.78
247,31.6684,2006.34,25.08
248,31.0272,2032.03,25.95
249,30.9427,2018.95,26.58
250,31.1435,2160.89,27.91
251,30.5944,1974.66,26.67
252,29.32,1991.13,26.54
253,29.2469,2130.48,27.58
254,28.4666,1941.21,26.93
255,28.9399,1917.03,27.14
256,27.8965,2096.73,25.62
257,28.1225,2135.37,25.58
258,28.9134,2061.83,24.84
259,26.6553,1971.15,24.92
260,28.1808,2099.93,24.24
261,29.1431,1919.36,22.84
262,28.8205,2063.57,22.66
263,30.324,1841.08,23.82
264,29.3173,1971.15,23.12
265,30.2347,1993.39,22.79
266,31.8426,1963.12,22.74
267,30.5161,2100.03,22.49
268,31.6112,1986.72,24.16
269,31.6174,1988.02,24.22
270,31.815,2012.79,25.25
271,31.4005,1940.42,25.99
272,31.8521,2048.16,26.39
273,31.1976,1858.4,26.8
274,30.4673,1887.97,26.95
275,30.5627,1852.8,26.71
276,30.1662,1839.46,27.38
277,28.977,1918.05,27.15
278,29.3516,2028.08,26.79
279,28.7662,1953.08,26.43
280,28.6847,2022.17,26.68
281,29.2127,1884.78,25.7
282,27.993,1944.55,25.39
283,28.5276,1958.64,23.7
284,28.2212,1881.47,24.51
285,29.9019,1945.64,23.59
286,28.2231,1855.16,22.99
287,30.2754,1922.46,23.9
288,31.0017,1960.52,22.7
289,30.2134,1918.96,22.95
290,30.2303,1913.22,23.02
291,31.9905,1801.92,23.96
292,30.9949,1979.42,23.62
293,31.1265,1899.9,24.17
294,31.9382,1926.68,24.67
295,31.0779,1907.75,26.05
296,29.4489,1985.56,25.91
297,30.8512,2008.5,25.96
298,28.8545,1913.79,27.29
299,30.4314,2001.61,26.81
300,28.9459,1913.26,26.7
301,30.4072,1917.22,26.69
302,28.7795,1816.08,26.44
303,29.8345,1766.44,26.09
304,27.7824,1873.59,26.3
305,28.0844,1925.7,25.38
306,29.1088,1925.28,25.08
307,29.2827,1899.2,23.13
308,28.6714,2032.26,24.8
309,27.8346,1866.58,24.23
310,30.177,1919.26,23.19
311,29.0482,1941.78,24.08
312,32.0906,1891.61,23.51
313,29.4391,2029.96,24.12
314,29.2319,1856.57,22.43
315,31.4436,1896.76,23.6
316,31.2737,1979.15,24.64
317,31.4448,1873.57,24.65
318,31.5587,1876.7,24.91
319,31.7642,1910.72,25.96
320,30.537,2017.01,26.22
321,30.6132,1945.96,26.87
322,30.9107,1980.72,26.56
323,31.0357,1889.01,26.61
324,30.3328,1991.33,26.16
325,28.7346,2110.18,26.3
326,28.9451,2023.06,26.68
327,29.0446,1973.49,27.3
328,27.8927,2114.67,25.95
329,28.4167,2038.32,25.09
330,29.0083,2040.81,24.86
331,28.9724,1990.33,24.6
332,28.6984,1963.87,23.4
333,31.4294,2014.48,23.96
334,29.7556,2022.23,22.88
335,26.8057,1997.72,23.37
336,30.047,2066.75,22.39
337,31.6319,1967.27,23.3
338,31.7773,2107.71,23.33
339,29.9862,1976.74,24.07
340,32.0071,1996.9,24.19
341,32.1841,2057.33,24.53
342,32.0704,2068.96,24.76
343,29.8125,2097.64,25.98
344,31.7153,2140.84,25.6
345,30.8083,2061.38,26.38
346,29.9204,1999.84,27.4
347,31.0456,2147.51,27.42
348,31.7253,2059.3,26.67
349,30.9,2029.24,26.86
350,28.88,2214.35,27.14
351,29.2108,2103.8,25.33
352,27.9678,2182.32,26.33
353,27.4774,2203.99,26.28
354,28.9251,2133.21,24.79
355,28.189,2117.83,25.16
356,28.9572,2194.31,24.3
357,28.5596,2040.66,23.12
358,29.4407,2005.06,23.2
359,29.4211,2070.1,22.79
360,29.9004,2157.33,22.8
361,31.0121,2202.5,22.75
362,29.4635,2068.08,23.34
363,30.6766,2125.53,23.31
364,29.2677,2063.0,24.0
365,31.9021,2127.27,24.38
366,29.5213,2222.49,24.88
367,29.3108,2201.43,26.32
368,30.8284,2168.44,26.18
369,30.216,2172.72,26.3
370,29.2393,2154.22,27.92
371,30.9983,2141.37,27.28
372,30.3707,2204.35,26.9
373,28.7245,2095.18,26.85
374,28.3735,2127.6,27.42
375,29.4954,2266.8,25.84
376,29.1153,2260.22,26.6
377,28.3794,2253.44,24.59
378,27.6534,2097.49,25.67
379,27.2389,2134.49,25.24
380,28.7255,2189.69,25.03
381,29.0009,2141.94,23.97
382,28.8704,2228.82,22.9
383,28.3422,2077.48,23.58
384,31.421,2086.19,22.97
385,30.9706,2142.21,22.65
386,29.7801,2247.75,23.35
387,31.4051,2226.8,23.08
388,30.5024,2194.85,24.26
389,32.2513,2106.95,24.29
390,31.6982,2137.48,25.38
391,31.4727,2120.41,25.25
392,32.3465,2114.03,26.54
393,29.7609,2094.07,26.46
394,29.6652,2181.54,27.2
395,31.2944,2150.01,27.81
396,31.6887,2159.36,26.53
397,29.6133,2108.21,27.81
398,29.8561,2194.6,26.97
399,29.1813,2100.35,26.14
400,27.5431,2165.51,25.9
401,28.8812,2135.09,25.94
402,27.9393,2096.64,24.7
403,28.3725,2055.16,24.46
404,30.0891,2187.94,23.53
405,29.1081,2110.32,22.63
406,31.1291,2130.95,23.6
407,29.0412,2163.87,23.57
408,29.4187,2088.58,23.48
409,30.0416,2074.93,23.64
410,29.168,2009.12,23.1
411,30.9559,2122.22,23.39
412,31.5435,2122.79,23.82
413,30.6277,2102.35,24.12
414,32.1609,2070.81,25.32
415,30.8841,1953.28,25.82
416,30.5695,2069.26,26.01
417,30.8429,2076.33,26.89
418,30.9764,1953.25,26.4
419,30.008,2060.88,26.93
420,28.4782,2077.13,27.03
421,28.2593,2033.62,26.37
422,29.4966,1967.82,26.87
423,29.1564,2082.02,26.89
424,27.7661,2072.9,25.69
425,28.6823,2090.43,25.57
426,26.8873,2040.42,24.84
427,27.7844,1987.92,24.26
428,30.0525,2064.46,23.08
429,26.4514,2092.75,24.74
430,30.4534,2011.65,23.44
431,29.1763,2020.18,23.55
432,29.6323,1942.24,23.95
433,30.7559,1992.04,23.39
434,29.9479,1912.13,23.31
435,31.004,2039.46,23.87
436,30.1475,1985.02,23.43
437,31.2857,1936.46,25.51
438,31.4285,1985.39,24.64
439,32.3516,1997.0,25.32
440,30.3998,2000.85,25.63
441,31.1262,2027.76,26.45
442,29.7359,1969.39,26.24
443,30.9228,1925.23,27.22
444,30.6698,1947.36,27.53
445,28.5268,1970.14,26.63
446,28.1832,1897.29,26.66
447,29.3328,1812.47,25.94
448,28.7109,1887.92,25.7
449,28.7929,1962.84,26.3
450,27.3288,1911.42,24.19
451,28.7036,1988.66,24.39
452,28.9083,2043.75,24.26
453,28.2144,1886.12,23.91
454,27.2821,1882.42,23.36
455,29.4348,1927.33,23.08
456,29.7083,2000.82,21.87
457,31.0535,1844.0,22.96
458,30.085,1897.3,23.66
459,31.9216,1876.02,24.39
460,32.7535,1792.07,24.98
461,31.2275,1923.57,25.0
462,31.6352,1893.42,24.82
463,32.4252,1994.68,26.41
464,32.0289,1965.0,25.61
465,29.7126,1896.18,26.72
466,29.8997,1767.77,26.5
467,29.5143,1909.18,26.72
468,30.8875,1913.68,25.93
469,29.3187,1897.56,27.0
470,29.0954,1990.85,27.24
471,28.829,1873.89,26.17
472,28.4372,1972.94,26.18
473,28.4806,1891.28,25.79
474,28.1659,1852.88,26.23
475,28.0647,1950.41,23.94
476,28.2763,1989.37,24.51
477,29.1744,1906.67,23.99
478,28.9183,1959.68,24.4
479,29.7791,1919.73,23.08
480,30.7513,1871.56,22.48
481,30.6292,1846.04,23.27
482,31.5907,1950.77,23.14
483,30.5908,2000.94,24.09
484,31.6318,1899.32,23.69
485,30.618,1814.57,24.66
486,30.7563,2006.73,25.45
487,30.6408,1978.96,25.3
488,31.5462,1930.05,26.1
489,30.5195,2087.34,25.5
490,30.7489,1982.19,27.14
491,30.4536,1991.58,26.53
492,31.6946,1963.44,26.98
493,29.5177,1987.69,27.15
494,28.6544,1965.01,26.99
495,28.1995,1895.6,26.2
496,29.1009,2086.93,25.52
497,28.3335,1956.8,25.82
498,27.9622,1941.55,24.82
499,27.8325,1846.44,23.28
500,29.4041,2061.39,23.98
501,28.6408,2040.62,23.92
502,29.6735,1986.15,23.74
503,29.8638,2121.68,23.45
504,30.3622,2026.61,23.1
505,29.1541,2017.66,23.92
506,30.8365,2128.56,23.76
507,31.2158,1965.2,24.0
508,32.8969,2038.48,23.42
509,31.8888,1949.12,24.02
510,31.5832,2124.56,24.75
511,32.2579,2155.46,25.38
512,32.7721,2152.08,26.38
513,30.8552,2080.25,26.19
514,32.3801,2136.67,26.33
515,30.3562,2108.47,27.72
516,30.3344,2064.43,26.98
517,30.89,2102.4,26.05
518,28.8155,2070.12,26.55
519,27.8136,1981.03,25.82
520,30.0509,2138.05,26.21
521,28.9816,1988.6,26.19
522,28.1035,2066.64,25.32
523,29.1827,1991.91,24.44
524,28.7956,2191.16,24.23
525,29.5543,2174.39,22.78
526,28.8867,2209.48,24.0
527,29.4122,2174.89,23.22
528,29.2979,2165.14,21.51
529,31.0512,2116.96,23.94
530,30.3055,2127.83,23.41
531,32.8447,2140.53,23.86
532,32.2056,2202.88,23.57
533,32.2149,2115.93,24.66
534,32.102,2108.48,25.29
535,32.065,2058.1,25.31
536,31.9568,2194.74,26.2
537,30.1037,2174.37,26.21
538,31.724,2097.55,26.58
539,31.2381,2122.76,27.94
540,30.0068,2106.49,27.35
541,30.6291,2141.02,26.43
542,28.2576,2148.1,26.32
543,28.7577,2176.34,26.82
544,28.4241,2181.93,25.94
545,28.7305,2100.52,25.04
546,27.6731,2203.87,24.74
547,28.864,2215.21,24.09
548,28.6822,2209.74,24.52
549,28.8158,2168.72,23.65
550,29.1083,2188.93,23.24
551,28.7275,2225.05,22.78
552,28.9036,2104.39,23.62
553,31.0537,2164.85,23.14
554,31.3003,2106.9,23.38
555,29.8832,2184.45,23.97
556,32.0781,2179.97,23.2
557,32.3255,2106.03,24.37
558,31.1154,2117.98,25.04
559,31.5225,2072.16,25.84
560,31.6372,2076.0,26.03
561,31.4113,2170.62,27.19
562,29.9326,2180.55,26.43
563,30.7224,2086.13,25.81
564,30.3323,2144.89,26.39
565,29.4647,2096.54,25.81
566,30.6172,2075.71,27.52
567,29.1793,2121.53,27.12
568,28.521,2154.46,25.58
569,28.0924,2012.38,26.01
570,30.1356,2167.82,24.05
571,28.2314,2109.59,24.15
572,28.9474,2100.06,24.2
573,29.2282,2200.87,23.39
574,28.0375,2086.16,22.93
575,28.083,2087.25,22.9
576,31.3521,2077.54,23.58
577,32.0018,2123.67,23.51
578,30.8039,2107.02,23.53
579,30.3962,2081.85,24.03
580,30.2018,2045.61,24.7
581,32.1782,2004.24,23.94
582,30.9683,2012.88,25.34
583,30.6092,2048.67,26.04
584,30.5298,2083.22,26.67
585,30.952,2032.44,26.26
586,30.5462,2049.91,27.04
587,31.7007,2073.7,26.3
588,30.6832,2021.8,26.75
589,27.7143,2000.7,27.52
590,28.7314,2094.91,26.71
591,29.3982,2040.18,27.27
592,29.3684,2070.72,25.81
593,27.7794,2007.63,25.83
594,28.8581,2009.68,24.64
595,29.0779,1957.12,25.33
596,28.562,1894.64,24.38
597,31.3446,1973.99,24.04
598,28.2992,2015.88,23.22
599,29.6523,2084.78,23.24
600,30.1887,2051.97,23.05
601,30.9943,1887.92,23.43
602,30.9939,1969.74,23.39
