simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00001,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.4329,1677.77,46.44,8.42,25.61,12.852,25.996,1,NONE,,PASS,94.37875197315591,19.284316011922975,1.1485839880770239,14.457246734207727,29604.19862307445,99.13830580269001,50.991029704669764,88.53016500250833,34.746515336798154,12.903040285979138,64.2488209683617,60.007747571052185,1.4283357344774597,1.426220107346845,25.165608717594523,8.399305377604165,4.7267253194689145,13.12603069707308,0.6806583489379456,0.0,6.2450045135165055e-15,14.049136333956097,79.91707849030719,29604.19862307445,25.165608717594523,train
SIM_00002,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,38.4609,1803.86,25.82,6.54,29.29,18.557,24.893,1,NONE,,PASS,77.64657333493788,29.863570923777125,8.597329076222877,5.586006267832615,8050.321252800872,99.69033038773338,43.05126360574932,60.74816039760482,53.808235898697525,47.514565315682454,65.73013923218267,31.438723053347932,1.4401360818123312,1.5522931369944124,6.927621007906963,23.42876438802083,5.160893563473652,28.589657951494484,0.957342242308057,0.0,1.2490009027033011e-14,8.208396908530407,18.94995156593554,8050.321252800872,6.927621007906963,train
SIM_00003,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,37.5022,2196.23,39.75,8.7,34.64,19.579,21.558,1,NONE,,PASS,72.93240066338026,27.351254761582194,10.1509452384178,6.900628891539141,8095.277229569677,99.68579662004711,45.048501114546575,50.74274608406547,49.28154011095891,41.778392170977554,53.28084074040753,23.345971085695297,1.3439194821324305,1.923375168789216,7.089537620294356,24.17557186284722,1.7380862168571078,25.91365807970433,0.9474394613918362,1.2490009027033011e-14,3.7470027081099033e-14,9.996026784523977,19.58604617106962,8095.277229569677,7.089537620294356,val
SIM_00004,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,31.1786,1678.21,25.09,9.45,25.58,15.015,21.749,1,NONE,,PASS,78.41893572460934,24.449926293833048,6.728673706166951,6.025862855043249,7754.411743211202,99.64093511211092,41.65319507024422,63.01243178375869,44.053921250149635,37.094500426650725,57.14821775192645,33.226062708356515,1.3731000874663017,1.4264508861451541,6.591122387924043,15.158158421875,4.537822721056193,19.695981142931192,0.8055640293647456,0.0,6.2450045135165055e-15,9.023512127311516,20.82884998409434,7754.411743211202,6.591122387924043,train
SIM_00005,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,22.9554,2485.9,73.33,8.51,34.95,12.359,24.101,1,NONE,,PASS,83.88656398875371,19.256496309874368,3.6989036901256314,11.846861247542758,15365.823114516588,99.52343773894594,38.916162361502124,73.62078639098004,34.69638974752139,24.58546264008109,57.90608406277565,39.929263866054946,1.3788922415362599,2.1792498879188695,13.470360151289855,9.043271859375,5.935996622296678,14.979268481671678,0.7778813051256158,0.0,3.7470027081099033e-14,15.054751542094186,42.62199328726338,15365.823114516588,13.470360151289855,train
SIM_00006,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,32.9752,1620.86,37.41,7.35,34.71,10.527,25.786,1,NONE,,PASS,71.4467511424643,23.559709082729885,9.41549091727012,5.021623205637731,5664.056729355783,99.69018772715485,25.42414117808794,61.712477323632065,42.449926275188986,24.066316855751936,72.94070459965491,33.12140064614854,1.4989831941779383,1.4198107152709272,4.961494784399481,10.892979479166666,13.413488883326448,24.306468362493113,1.0316964558917507,0.0,1.2490009027033011e-14,8.346578764085827,13.610130134377455,5664.056729355783,4.961494784399481,test
SIM_00007,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,38.2612,2673.81,76.14,6.91,22.44,10.603,24.954,1,NONE,,PASS,55.690045160036625,21.307679558771934,16.953520441228072,7.583572378707262,6024.801232046934,99.71637579413992,19.352305872278883,45.05738159135702,38.39221542121069,21.091910046157388,66.20251997014987,20.403022755589053,1.4439195796399982,2.2488058397039743,5.067154432694486,12.740116065972225,15.858025515637534,28.59814158160976,1.3421518519991302,0.0,0.0,9.716591312586885,11.29428678381309,6024.801232046934,5.067154432694486,val
SIM_00008,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,30.0594,2606.34,72.34,8.28,20.77,10.997,27.905,1,NONE,,PASS,74.74589792170431,22.468168439876788,7.591231560123205,8.752874840941393,10294.555621284751,99.66416987649572,25.92239193532036,65.90858865712096,40.483186378156375,21.972550842673403,73.72180805753207,35.79388755714972,1.5055005721737733,2.179675727029089,8.609311528144922,10.420331067708334,13.420677940061115,23.84100900776945,1.0611015789545235,1.2490009027033011e-14,1.2490009027033011e-14,11.361126344704694,22.4258481462452,10294.555621284751,8.609311528144922,test
SIM_00009,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,24.1702,1913.83,58.9,8.33,21.24,18.207,20.858,1,NONE,,PASS,90.449813176177,21.861900744308333,2.308299255691668,12.537622120805034,19920.968870150515,99.34489363627883,63.554744850043164,73.79580199252818,39.39081215190691,14.70296777746416,49.964223572207665,39.65927302511094,1.3193889231417852,1.603090687443197,16.686497588910257,14.429735286458335,0.9484851103420244,15.37822039680036,0.7034255885003057,0.0,6.2450045135165055e-15,16.657481423262617,65.78902183052129,19920.968870150515,16.686497588910257,train
SIM_00010,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,28.2249,1768.31,55.76,7.08,26.56,10.66,14.399,1,NONE,,PASS,56.035692228593284,15.816018095828227,12.408881904171773,6.7009964264707405,4013.6081737964655,99.62105080972958,29.541520249071485,37.60253141024187,28.4973299023932,23.74236260419437,35.74025937480679,15.816133531349838,1.2191615646064389,1.5079651896542605,3.4226925205404464,9.454116460937499,2.892567836984717,12.346684297922216,0.7806442951136283,0.0,1.8735013540549517e-14,9.698296338932314,11.851548770712048,4013.6081737964655,3.4226925205404464,train
